reference,nom_csv,nom_site
HX_3MST5959,Stéthoscope Classic III - Edition Miroir - Double pavillon - Bleu ciel,Stéthoscope Classic III - Edition Miroir -...
HX_3MST5863,Stéthoscope Classic III - Edition Miroir - Double pavillon - Bleu marine,Stéthoscope Classic III - Edition Miroir -...
HX_3MST5633,Stéthoscope Classic III - Double pavillon - Rose nacré,Stéthoscope Classic III - Double pavillon...
HX_3MST5832,Stéthoscope Classic III - Double pavillon - Lavande,Stéthoscope Classic III - Double pavillon...
HX_3MST5630,Stéthoscope Classic III - Double pavillon - Bleu ciel,Stéthoscope Classic III - Double pavillon...
HX_3MST6179,Stéthoscope Cardiology IV - Edition Champagne - Double pavillon - Noir,Stéthoscope Cardiology IV - Edition...
HX_3MST2124,Stéthoscope Classic II - Nouveau-né - Double pavillon - Bleu Caraïbes,Stéthoscope Classic II - Nouveau-né -...
HX_ABC11235,Draps de glisse et de rehaussement ReadySlide,Draps de glisse et de rehaussement...
HX_ABC11230,Draps de glisse et de rehaussement ReadySlide,Draps de glisse et de rehaussement...
HX_HALISPAHAN0,Tunique homme Ispahan Taille 0 (36/38),Tunique homme Ispahan - Taille 3 (48/50)
HX_HALJAVA0,Pantalon mixte Java taille 0 (36/38),Pantalon mixte Java - Taille 3 (48/50)
HX_HALBYZAN0,Tunique femme Byzan taille 0 (36/38),Tunique femme Byzan - Taille 3 (48/50)
HX_HALVOLGA0,Tunique femme Volga Taille 0 (36/38),Tunique femme Volga - Taille 3 (48/50)
HX_ANI425210,Caisson pédagogique à Ultra Violet Boîte à coucou,Caisson pédagogique à Ultra Violet Boîte à...
HX_ANI425178,Distributeur mural Delta pour flacons Airless 1 L,Distributeur mural Delta pour flacons...
HX_ANI2513034,Solution hydroalcoolique Aniosrub 800 - Bidon 5L,Solution hydroalcoolique Aniosrub 800 -...
HX_ANI2446655Y6,Lingettes détergentes et désinfectantes Wip'Anios Excel,Lingettes détergentes et désinfectantes...
HX_ANI2446424DI,Lingettes détergentes et désinfectantes Wip'Anios Excel,Lingettes détergentes et désinfectantes...
HX_ANI1921144,Savon Aniosafe Manuclear HF NPC Airless Anios 1L,Savon Aniosafe Manuclear HF NPC Airless...
HX_ANI1918228VB,Solution lavante Aniosafe Savon Doux HF - 500 ml,Solution lavante Aniosafe Savon Doux HF -...
